quote,author,prompt
“Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.”,Steve Maraboli,Provide a motivational quote about overcoming obstacles:
“You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.”,Roy T. Bennett,Provide a motivational quote about stepping out of your comfort zone:
"“Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind.”",Roy T. Bennett,Provide a motivational quote about overcoming obstacles:
“Let the improvement of yourself keep you so busy that you have no time to criticize others.”,Roy T. Bennett,Provide a motivational quote about self-growth and positivity:
“Incredible change happens in your life when you decide to take control of what you do have power over instead of craving control over what you don't.”,Steve Maraboli,Provide a motivational quote about taking control of your life:
“Believe in your infinite potential. Your only limitations are those you set upon yourself.”,Roy T. Bennett,Provide a motivational quote about believing in oneself:
“The man who moves a mountain begins by carrying away small stones.”,Confucius,Provide a motivational quote about perseverance:
"“Happiness is not the absence of problems, it's the ability to deal with them.”",Steve Maraboli,Provide a motivational quote about dealing with obstacles:
“The only way of discovering the limits of the possible is to venture a little way past them into the impossible.”,Arthur C. Clarke,Provide a motivational quote about pushing boundaries:
"“Surround Yourself with People Who Believe in Your Dreams:Surround yourself with people who believe in your dreams, encourage your ideas, support your ambitions, and bring out the best in you.”",Roy T. Bennett,Provide a motivational quote about surrounding yourself with positive influences:
"“Sometimes life knocks you on your ass... get up, get up, get up!!! Happiness is not the absence of problems, it's the ability to deal with them.”",Steve Maraboli,Provide a motivational quote about overcoming obstacles:
"“Do what you love, love what you do, and with all your heart give yourself to it.”",Roy T. Bennett,Provide a motivational quote about following your passion:
"“Learn the rules like a pro, so you can break them like an artist.”",Pablo Picasso,Provide a motivational quote about challenging the status quo:
"“Once you realize you deserve a bright future, letting go of your dark past is the best choice you will ever make.”",Roy T. Bennett,Provide a motivational quote about embracing change:
“Without ambition one starts nothing. Without work one finishes nothing. The prize will not be sent to you. You have to win it.”,Ralph Waldo Emerson,Provide a motivational quote about ambition and hard work:
"“If you believe very strongly in something, stand up and fight for it.”",Roy T. Bennett,Provide a motivational quote about standing up for your beliefs:
“Change the way you look at things and the things you look at change.”,Wayne W. Dyer,Provide a motivational quote about changing your perspective:
“It's never too late to change your life for the better. You don't have to take huge steps to change your life. Making even the smallest changes to your daily routine can make a big difference to your life.”,Roy T. Bennett,Provide a motivational quote about making small changes for self-improvement:
"“Always remember people who have helped you along the way, and don’t forget to lift someone up.”",Roy T. Bennett,Provide a motivational quote about gratitude and helping others:
"“Maturity is when you stop complaining and making excuses, and start making changes.”",Roy T. Bennett,Provide a motivational quote about taking responsibility:
"“When in a relationship, a real man doesn't make his woman jealous of others, he makes others jealous of his woman.”",Steve Maraboli,Provide a motivational quote about healthy relationships:
“What's done is done. What's gone is gone. One of life's lessons is always moving on. It’s okay to look back to see how far you’ve come but keep moving forward.”,Roy T. Bennett,Provide a motivational quote about resilience:
“Strong people have a strong sense of self-worth and self-awareness; they don’t need the approval of others.”,Roy T. Bennett,Provide a motivational quote about self-worth and independence:
"“Never stop dreaming, never stop believing, never give up, never stop trying, and never stop learning.”",Roy T. Bennett,Provide a motivational quote about perseverance:
"“When the going gets tough, put one foot in front of the other and just keep going. Don’t give up.”",Roy T. Bennett,Provide a motivational quote about perseverance:
"“Stop giving other people the power to control your happiness, your mind, and your life. If you don't take control of yourself and your own life, someone else is bound to try.”",Roy T. Bennett,Provide a motivational quote about taking control of your own happiness and life:
"“At the end of the day, let there be no excuses, no explanations, no regrets.”",Steve Maraboli,Provide a motivational quote about taking action:
"“We all make mistakes, have struggles, and even regret things in our past. But you are not your mistakes, you are not your struggles, and you are here NOW with the power to shape your day and your future.”",Steve Maraboli,Provide a motivational quote about overcoming past regrets:
"“If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.”",Roy T. Bennett,Provide a motivational quote about finding your passion:
"“Whatever the mind can conceive and believe, it can achieve.”",Napoleon Hill,Provide a motivational quote about the power of determination:
"“I will not try to convince you to love me, to respect me, to commit to me. I deserve better than that; I AM BETTER THAN THAT...Goodbye.”",Steve Maraboli,Provide a motivational quote about self-worth:
"“Although the world is full of suffering, it is full also of the overcoming of it.”",Helen Keller,Provide a motivational quote about overcoming challenges:
“You must learn to let go. Release the stress. You were never in control anyway.”,Steve Maraboli,Provide a motivational quote about letting go:
"“Make a pact with yourself today to not be defined by your past. Sometimes the greatest thing to come out of all your hard work isn't what you get for it, but what you become for it. Shake things up today! Be You...Be Free...Share.”",Steve Maraboli,Provide a motivational quote about self-empowerment:
“Circumstances are the rulers of the weak; they are but the instruments of the wise.”,Samuel Lover,Provide a motivational quote about overcoming challenges:
"“The strongest people find the courage and caring to help others, even if they are going through their own storm.”",Roy T. Bennett,Provide a motivational quote about helping others in challenging times:
“The surest way to make your dreams come true is to live them.”,Roy T. Bennett,Provide a motivational quote about pursuing your passions:
“Do not let arrogance go to your head and despair to your heart; do not let compliments go to your head and criticisms to your heart; do not let success go to your head and failure to your heart.”,Roy T. Bennett,Provide a motivational quote about humility and resilience:
"“You cannot change anyone, but you can be the reason someone changes.”",Roy T. Bennett,Provide a motivational quote about the power of influence:
"“Each day brings new opportunities, allowing you to constantly live with love—be there for others—bring a little light into someone's day. Be grateful and live each day to the fullest.”",Roy T. Bennett,Provide a motivational quote about living with love and gratitude:
"“Do not stop thinking of life as an adventure. You have no security unless you can live bravely, excitingly, imaginatively; unless you can choose a challenge instead of competence.”",Eleanor Roosevelt,Provide a motivational quote about embracing challenges:
"“Action may not always bring happiness, but there is no happiness without action. ”",William James,Provide a motivational quote about taking initiative:
"“Courage is feeling fear, not getting rid of fear, and taking action in the face of fear.”",Roy T. Bennett,Provide a motivational quote about facing fears:
"“To have what you have never had, you have to do what you have never done.”",Roy T. Bennett,Provide a motivational quote about stepping out of your comfort zone:
"“If you hang out with chickens, you're going to cluck and if you hang out with eagles, you're going to fly.”",Steve Maraboli,Provide a motivational quote about surrounding yourself with the right people:
"“Live the Life of Your DreamsWhen you start living the life of your dreams, there will always be obstacles, doubters, mistakes and setbacks along the way. But with hard work, perseverance and self-belief there is no limit to what you can achieve.”",Roy T. Bennett,Provide a motivational quote about overcoming obstacles:
“You are the average of the five people you spend the most time with.”,Jim Rohn,Provide a motivational quote about influence:
"“You Are the Master of Your AttitudeYou cannot control what happens to you, but you can control the way you think about all the events. You always have a choice. You can choose to face them with a positive mental attitude.”",Roy T. Bennett,Provide a motivational quote about positive thinking:
"“People are always blaming their circumstances for what they are. I don't believe in circumstances. The people who get on in this world are the people who get up and look for the circumstances they want, and if they can't find them, make them.”",George Bernard Shaw,Provide a motivational quote about overcoming obstacles:
"“Renew, release, let go. Yesterday’s gone. There’s nothing you can do to bring it back. You can’t “should’ve” done something. You can only DO something. Renew yourself. Release that attachment. Today is a new day!”",Steve Maraboli,Provide a motivational quote about embracing change:
“How would your life be different if...You walked away from gossip and verbal defamation? Let today be the day...You speak only the good you know of other people and encourage others to do the same.”,Steve Maraboli,Provide a motivational quote about speaking positively about others:
"“Forget yesterday - it has already forgotten you. Don't sweat tomorrow - you haven't even met. Instead, open your eyes and your heart to a truly precious gift - today.”",Steve Maraboli,Provide a motivational quote about living in the present:
"“I write for the same reason I breathe - because if I didn't, I would die.”",Isaac Asimov,Provide a motivational quote about the importance of passion and purpose:
"“Don’t let others tell you what you can’t do. Don't let the limitations of others limit your vision. If you can remove your self-doubt and believe in yourself, you can achieve what you never thought possible.”",Roy T. Bennett,Provide a motivational quote about self-belief:
"“You have to accept whatever comes, and the only important thing is that you meet it with the best you have to give.”",Eleanor Roosevelt,Provide a motivational quote about facing challenges:
“Only he who attempts the absurd is capable of achieving the impossible.”,Miguel de Unamuno,Provide a motivational quote about pushing boundaries:
"“I want to live my life in such a way that when I get out of bed in the morning, the devil says, ""aw shit, he's up!”",Steve Maraboli,Provide a motivational quote about overcoming challenges:
“Don't wish it were easier. Wish you were better.”,Jim Rohn,Provide a motivational quote about overcoming challenges:
"“In the end, you have to choose whether or not to trust someone.”",Sophie Kinsella,Provide a motivational quote about trust:
"“Great leaders create more leaders, not followers.”",Roy T. Bennett,Provide a motivational quote about leadership:
"“If you don’t give up on something you truly believe in, you will find a way.”",Roy T. Bennett,Provide a motivational quote about perseverance:
“Turn your obstacles into opportunities and your problems into possibilities.”,Roy T. Bennett,Provide a motivational quote about turning adversity into strength:
“Don't confuse poor decision-making with destiny. Own your mistakes. It’s ok; we all make them. Learn from them so they can empower you!”,Steve Maraboli,Provide a motivational quote about embracing change:
"“The most important step a man can take. It's not the first one, is it? It's the next one. Always the next step, Dalinar.”",Brandon Sanderson,Provide a motivational quote about taking the next step:
"“Never respond to an angry person with a fiery comeback, even if he deserves it...Don't allow his anger to become your anger.”",Bohdi Sanders,Provide a motivational quote about handling anger gracefully:
"“Don't fear failure. — Not failure, but low aim, is the crime. In great attempts it is glorious even to fail.”",Bruce Lee,Provide a motivational quote about overcoming obstacles:
“Be the positive impact on the lives of others.”,Roy T. Bennett,Provide a motivational quote about making a positive impact:
“Rejection is an opportunity for your selection.”,Bernard Branson,Provide a motivational quote about overcoming obstacles:
“Dreams don't work unless you take action. The surest way to make your dreams come true is to live them.”,Roy T. Bennett,Provide a motivational quote about pursuing goals:
“It takes sunshine and rain to make a rainbow. There would be no rainbows without sunshine and rain.”,Roy T. Bennett,Provide a motivational quote about facing adversity:
“I cannot let the fear of the past color the future.”,Julie Kagawa,Provide a motivational quote about overcoming challenges:
"“Want to keep Christ in Christmas? Feed the hungry, clothe the naked, forgive the guilty, welcome the unwanted, care for the ill, love your enemies, and do unto others as you would have done unto you.”",Steve Maraboli,Provide a motivational quote about compassion:
“It doesn’t matter how many times you get knocked down. All that matters is you get up one more time than you were knocked down.”,Roy T. Bennett,Provide a motivational quote about perseverance:
"“Failure is a bend in the road, not the end of the road. Learn from failure and keep moving forward.”",Roy T. Bennett,Provide a motivational quote about overcoming obstacles:
“It doesn't matter what you did or where you were...it matters where you are and what you're doing. Get out there! Sing the song in your heart and NEVER let anyone shut you up!!”,Steve Maraboli,Provide a motivational quote about finding your passion:
"“It takes guts and humility to admit mistakes. Admitting we're wrong is courage, not weakness.”",Roy T. Bennett,Provide a motivational quote about embracing vulnerability:
“Discipline Your Mind to Think Positively: Discipline your mind to see the good in every situation and look on the best side of every event.”,Roy T. Bennett,Provide a motivational quote about positive thinking:
“First say to yourself what you would be;and then do what you have to do.”,Epictetus,Provide a motivational quote about self-empowerment:
“The one who falls and gets up is stronger than the one who never tried. Do not fear failure but rather fear not trying.”,Roy T. Bennett,Provide a motivational quote about resilience:
“What you stay focused on will grow.”,Roy T. Bennett,Provide a motivational quote about staying focused:
“Don’t wait for things to happen. Make them happen.”,Roy T. Bennett,Provide a motivational quote about taking initiative:
"“Be silent and safe — silence never betrays you; Be true to your word and your work and your friend; Put least trust in him who is foremost to praise you,Nor judge of a road till it draw to the end.”",John Boyle O'Reilly,Provide a motivational quote about trust and integrity:
"“You learn something valuable from all of the significant events and people, but you never touch your true potential until you challenge yourself to go beyond imposed limitations.”",Roy T. Bennett,Provide a motivational quote about challenging limitations:
"“Challenge and adversity are meant to help you know who you are. Storms hit your weakness, but unlock your true strength.”",Roy T. Bennett,Provide a motivational quote about overcoming obstacles:
"“You were put on this earth to achieve your greatest self, to live out your purpose, and to do it courageously.”",Steve Maraboli,Provide a motivational quote about reaching your full potential:
“Stop doing what is easy. Start doing what is right.”,Roy T. Bennett,Provide a motivational quote about taking on challenges:
"“Changing your outside world cannot make you happy if you are an unhappy person. The real personal change can only happen from the inside out. If you firstly create the change within yourself, you can turn your life around.”",Roy T. Bennett,Provide a motivational quote about internal transformation:
“7 Effective Ways to Make Others Feel Important 1. Use their name.2. Express sincere gratitude.3. Do more listening than talking.4. Talk more about them than about you.5. Be authentically interested.6. Be sincere in your praise.7. Show you care.”,Roy T. Bennett,Provide a motivational quote about making others feel important:
"“Don't wait for the right moment to start, start and make each moment right.”",Roy T. Bennett,Provide a motivational quote about seizing opportunities:
"“Plant seeds of happiness, hope, success, and love; it will all come back to you in abundance. This is the law of nature.”",Steve Maraboli,Provide a motivational quote about sowing positivity and reaping abundance:
"“When things do not go your way, remember that every challenge — every adversity — contains within it the seeds of opportunity and growth.”",Roy T. Bennett,Provide a motivational quote about turning setbacks into opportunities:
“Good people see the good and bring out the best in other people.”,Roy T. Bennett,Provide a motivational quote about bringing out the best in others:
"“Make the most of the best and the best of the worst, and keep your standards high. Never settle for anything less than you deserve or are capable of achieving.”",Roy T. Bennett,Provide a motivational quote about standards and achievement:
“Gratitude builds a bridge to abundance.”,Roy T. Bennett,Provide a motivational quote about gratitude:
“The universe doesn’t give you what you ask for with your thoughts - it gives you what you demand with your actions.”,Steve Maraboli,Provide a motivational quote about taking proactive actions:
"“You were born to stand out, stop trying to fit in.”",Roy T. Bennett,Provide a motivational quote about embracing uniqueness:
“Beliefs are choices. First you choose your beliefs. Then your beliefs affect your choices.”,Roy T. Bennett,Provide a motivational quote about the power of belief:
“You are essentially who you create yourself to be and all that occurs in your life is the result of your own making.”,Stephen Richards,Provide a motivational quote about self-empowerment:
"“The reason many people in our society are miserable, sick, and highly stressed is because of an unhealthy attachment to things they have no control over.”",Steve Maraboli,Provide a motivational quote about letting go of control:
“Life is short. Focus on what really matters most. You have to change your priorities over time.”,Roy T. Bennett,Provide a motivational quote about prioritizing what truly matters in life:
"“It doesn't matter if a million people tell you what you can't do, or if ten million tell you no. If you get one yes from God that's all you need.”",Tyler Perry,Provide a motivational quote about perseverance:
"“Change may not always bring growth, but there is no growth without change.”",Roy T. Bennett,Provide a motivational quote about embracing change:
“Great leaders can see the greatness in others when they can’t see it themselves and lead them to their highest potential they don’t even know.”,Roy T. Bennett,Provide a motivational quote about recognizing potential in others:
"“When you take control of your attitude, you take control of your life.”",Roy T. Bennett,Provide a motivational quote about taking control of your attitude:
“The right thing to do and the hard thing to do are usually the same.”,Steve Maraboli,Provide a motivational quote about perseverance:
“Stop doing what is easy or popular. Start doing what is right.”,Roy T. Bennett,Provide a motivational quote about making tough decisions:
"“I promise you nothing is as chaotic as it seems. Nothing is worth diminishing your health. Nothing is worth poisoning yourself into stress, anxiety, and fear.”",Steve Maraboli,Provide a motivational quote about overcoming challenges:
“One of the best ways to influence people is to make them feel important.”,Roy T. Bennett,Provide a motivational quote about influence and importance:
"“Enthusiasm can help you find the new doors, but it takes passion to open them. If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.”",Roy T. Bennett,Provide a motivational quote about passion:
"“The comfort zone is a psychological state in which one feels familiar, safe, at ease, and secure. You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.”",Roy T. Bennett,Provide a motivational quote about stepping out of your comfort zone:
“Let go of something old that no longer serves you in order to make room for something new.”,Roy T. Bennett,Provide a motivational quote about letting go of the past:
"“My past has not defined me, destroyed me, deterred me, or defeated me; it has only strengthened me.”",Steve Maraboli,Provide a motivational quote about overcoming adversity:
"“One resolution I have made, and try always to keep, is this: ‘To rise above little things’.”",John Burroughs,Provide a motivational quote about rising above trivial challenges:
"“To learn something new, you need to try new things and not be afraid to be wrong.”",Roy T. Bennett,Provide a motivational quote about embracing failure:
"“I cannot compromise my respect for your love. You can keep your love, I will keep my respect.”",Amit Kalantri,Provide a motivational quote about respecting oneself and maintaining self-worth:
"“It's funny how, in this journey of life, even though we may begin at different times and places, our paths cross with others so that we may share our love, compassion, observations, and hope. This is a design of God that I appreciate and cherish.”",Steve Maraboli,Provide a motivational quote about the power of connection:
“Consistency is the true foundation of trust. Either keep your promises or do not make them.”,Roy T. Bennett,Provide a motivational quote about consistency:
“Everything is hard before it is easy”,Goethe J.W.,Provide a motivational quote about perseverance:
“Shine your light and make a positive impact on the world; there is nothing so honorable as helping improve the lives of others.”,Roy T. Bennett,Provide a motivational quote about making a positive impact:
"“Dream your own dreams, achieve your own goals. Your journey is your own and unique.”",Roy T. Bennett,Provide a motivational quote about pursuing individual paths in life:
“The discontent and frustration that you feel is entirely your own creation.”,Stephen Richards,Provide a motivational quote about taking responsibility for your own emotions:
"“Great Leaders Create More LeadersGood leaders have vision and inspire others to help them turn vision into reality. Great leaders create more leaders, not followers. Great leaders have vision, share vision, and inspire others to create their own.”",Roy T. Bennett,Provide a motivational quote about leadership:
“Be with someone who inspires you and makes you be the best version of yourself.”,Roy T. Bennett,Provide a motivational quote about finding inspiration in others:
“The greatest step towards a life of simplicity is to learn to let go.”,Steve Maraboli,Provide a motivational quote about embracing change:
“Life teaches us the right path is rarely the easy one.”,Roy T. Bennett,Provide a motivational quote about overcoming challenges:
"“The harder you fall, the heavier your heart; the heavier your heart, the stronger you climb; the stronger you climb, the higher your pedestal.”",Criss Jami,Provide a motivational quote about resilience:
"“Every choice comes with a consequence. Once you make a choice, you must accept responsibility. You cannot escape the consequences of your choices, whether you like them or not.”",Roy T. Bennett,Provide a motivational quote about taking responsibility:
“Keep in mind that the true measure of an individual is how he treats a person who can do him absolutely no good.”,Ann Landers,Provide a motivational quote about kindness:
"“Find a purpose to serve, not a lifestyle to live.”",Criss Jami,Provide a motivational quote about finding one's purpose:
“Failures are the stairs we climb to reach success.”,Roy T. Bennett,Provide a motivational quote about resilience:
“No one has ever achieved greatness without dreams.”,Roy T. Bennett,Provide a motivational quote about achieving success:
“Free yourself from the complexities and drama of your life. Simplify. Look within. Within ourselves we all have the gifts and talents we need to fulfill the purpose we've been blessed with.”,Steve Maraboli,Provide a motivational quote about self-discovery:
“You can have everything you want if you can put your heart and soul into everything you do.”,Roy T. Bennett,Provide a motivational quote about achieving dreams and putting in effort:
“Live boldly. Push yourself. Don't settle.”,Jojo Moyes,Provide a motivational quote about taking risks:
"“Stay strong, stay positive, and never give up.”",Roy T. Bennett,Provide a motivational quote about perseverance:
“How much you can learn when you fail determines how far you will go into achieving your goals.”,Roy T. Bennett,Provide a motivational quote about learning from failure:
"“Change course, but don’t give up.”",Roy T. Bennett,Provide a motivational quote about perseverance:
"“Those with a grateful mindset tend to see the message in the mess. And even though life may knock them down, the grateful find reasons, if even small ones, to get up.”",Steve Maraboli,Provide a motivational quote about gratitude:
"“No matter how much experience you have, there’s always something new you can learn and room for improvement.”",Roy T. Bennett,Provide a motivational quote about continuous self-improvement:
“Create a vision for the life you really want and then work relentlessly towards making it a reality.”,Roy T. Bennett,Provide a motivational quote about creating a vision for your dream life:
“Do not let your negative thoughts have power over you because those thoughts will end up controlling your life. No one can live a positive life with a negative mind.”,Roy T. Bennett,Provide a motivational quote about overcoming obstacles:
"“Be where you are, stop over-thinking, and focus on what you are doing.”",Roy T. Bennett,Provide a motivational quote about staying present and focused:
"“If you have a goal, write it down. If you do not write it down, you do not have a goal - you have a wish.”",Steve Maraboli,Provide a motivational quote about setting intentions:
“You are never alone. You are eternally connected with everyone.”,Amit Ray,Provide a motivational quote about the power of connection:
"“If you care about something enough, you'll find a way to make it happen.”",Roy T. Bennett,Provide a motivational quote about overcoming obstacles:
“To overcome fear is the quickest way to gain your self-confidence.”,Roy T. Bennett,Provide a motivational quote about overcoming fear:
“One must always be prepared for riotous and endless waves of transformation.”,Elizabeth Gilbert,Provide a motivational quote about embracing change:
"“Plants are more courageous than almost all human beings: an orange tree would rather die than produce lemons, whereas instead of dying the average person would rather be someone they are not.”",Mokokoma Mokhonoana,Provide a motivational quote about staying true to yourself:
“What helps you persevere is your resilience and commitment.”,Roy T. Bennett,Provide a motivational quote about resilience and commitment:
"“Instead of worrying about what could go wrong, change your thoughts to what could go right. When you change the negative thought into a positive one, it eliminates the negative one.”",Roy T. Bennett,Provide a motivational quote about positive thinking:
"“If you believe you can, you might. If you know you can, you will.”",Steve Maraboli ,Provide a motivational quote about self-belief:
“You make the world a better place by making daily improvements to become the best version of yourself.”,Roy T. Bennett,Provide a motivational quote about personal growth:
"“A gentleman is someone who does not what he wants to do, but what he should do.”",Haruki Murakami,Provide a motivational quote about being selfless:
“Be careful the stories you're telling yourself about your current circumstances; a head full of negative thoughts has no space for positive ones.”,Roy T. Bennett,Provide a motivational quote about the power of positive thinking:
“It's not what we do once in a while that shapes our lives. It's what we do consistently.”,Anthony Robbins,Provide a motivational quote about consistency:
"“When you concentrate your energy purposely on the future possibility that you aspire to realize, your energy is passed on to it and makes it attracted to you with a force stronger than the one you directed towards it.”",Stephen Richards,Provide a motivational quote about manifestation:
“...yelling doesn't make a thing any more possible.”,Angie Sage,Provide a motivational quote about staying calm under pressure:
“Act the way you'd like to be and soon you'll be the way you'd like to act.”,Bob Dylan,Provide a motivational quote about personal growth:
"“You attract who you are being. When you work at being the type of person that you want to attract, you attract those kinds of people into your life.”",Roy T. Bennett,Provide a motivational quote about attracting positive influences:
"“If you are not the hero of your own story, then you're missing the whole point of your humanity.”",Steve Maraboli,Provide a motivational quote about being the hero of your own story:
"“A young outcast will often feel that there is something wrong with himself, but as he gets older, grows more confident in who he is, he will adapt, he will begin to feel that there is something wrong with everyone else.”",Criss Jami,Provide a motivational quote about self-acceptance:
“Sometimes it's worth lingering on the journey for a while before getting to the destination.”,Richelle Mead,Provide a motivational quote about embracing the journey:
"“What the mind can conceive and believe, and the heart desire, you can achieve.”",Norman Vincent Peale,Provide a motivational quote about achieving your dreams:
"“We have been called to heal wounds, to unite what has fallen apart, and to bring home those who have lost their way.”",St. Francis of Assisi,Provide a motivational quote about healing and uniting:
"“Love is as simple as the absence of self given to another. God, when invited, fills the void of any unrequited love; hence loving is how one is drawn closer to God no matter its most horrific repercussions.”",Criss Jami,Provide a motivational quote about the power of selfless love:
"“The most intriguing people you will encounter in this life are the people who had insights about you, that you didn't know about yourself.”",Shannon L. Alder,Provide a motivational quote about self-discovery:
"“Faith moves mountains, love transforms hearts.”",John Paul Warren,Provide a motivational quote about faith and love:
"“Set the standard! Stop expecting others to show you love, acceptance, commitment, & respect when you don't even show that to yourself.”",Steve Maraboli,Provide a motivational quote about self-love and setting high standards:
“Sometimes letting go is simply changing the labels you place on an event. Looking at the same event with fresh eyes.”,Steve Maraboli,Provide a motivational quote about embracing change:
"“No matter what your history has been, your destiny is what you create today. What are you going to create?”",Steve Maraboli,Provide a motivational quote about creating your own destiny:
“Don’t tell me about your god with your words. Show me about your god with your actions.”,Steve Maraboli,Provide a motivational quote about leading by example:
“You have the ability to choose your reactions.”,Steve Maraboli,Provide a motivational quote about choosing your reactions:
“Do what you think is right. Don't let people make the decision of right or wrong for you.”,Steve Maraboli,Provide a motivational quote about making your own choices:
“Times will change for the better when you change.”,Maxwell Maltz,Provide a motivational quote about personal growth:
“People will always have opinions about your decision because they're not courageous enough to take action on their opinion.”,Steve Maraboli,Provide a motivational quote about taking action despite others' opinions:
"“If you're offered a seat on a rocket ship, don't ask what seat! Just get on.”",Sheryl Sandberg,Provide a motivational quote about taking opportunities:
“Either you run the day or the day runs you..”,Jim Rohn,Provide a motivational quote about taking control of your life:
“Your opinion is not my reality.”,Steve Maraboli,Provide a motivational quote about the power of self-belief:
"“Once your mindset changes, everything on the outside will change along with it.”",Steve Maraboli,Provide a motivational quote about the power of positive thinking:
“And worse I may be yet: the worst is notSo long as we can say 'This is the worst.”,William Shakespeare,Provide a motivational quote about facing challenges:
"“A photograph shouldn't be just a picture, it should be a philosophy.”",Amit Kalantri,Provide a motivational quote about photography:
"“Because when we give too many fucks, when we choose to give a fuck about everything, then we feel as though we are perpetually entitled to feel comfortable and happy at all times, that’s when life fucks us.”",Mark Manson,Provide a motivational quote about embracing discomfort:
"“Look around you. Everything changes. Everything on this earth is in a continuous state of evolving, refining, improving, adapting, enhancing...changing. You were not put on this earth to remain stagnant.”",Steve Maraboli,Provide a motivational quote about embracing change:
“God helps those who strut their stuff.”,Dan Sofer,Provide a motivational quote about confidence:
“Leaders are limited by their vision rather than by their abilities.”,Roy T. Bennett,Provide a motivational quote about overcoming obstacles:
“The level of success you achieve will be in direct proportion to the depth of your commitment.”,Roy T. Bennett,Provide a motivational quote about commitment:
"“Integrity is doing what is right and truthful, and doing as you say you would do.”",Roy T. Bennett,Provide a motivational quote about integrity:
"“Annual income twenty pounds, annual expenditure nineteen nineteen and six , result happiness.Annual income twenty pounds, annual expenditure twenty pounds ought and six, result misery”",Charles Dickens,Provide a motivational quote about financial responsibility:
“Don't bother just to be better than your contemporaries or predecessors. Try to be better than yourself.”,William Faulkner,Provide a motivational quote about self-improvement:
"“If you're waiting until you feel talented enough to make it, you'll never make it.”",Criss Jami,Provide a motivational quote about pursuing goals despite self-doubt: 
"“If an apology is followed by an excuse or a reason, it means they are going to commit same mistake again they just apologized for.”",Amit Kalantri,Provide a motivational quote about taking responsibility for your actions:
"“When you are living the best version of yourself, you inspire others to live the best versions of themselves.”",Steve Maraboli,Provide a motivational quote about inspiring others to be their best selves:
"“12--Lose Battles, But Win The War: Grand StrategyGrand strategy is the art of looking beyond the present battle and calculating ahead. Focus on your ultimate goal and plot to reach it.”",Robert Greene,Provide a motivational quote about grand strategy:
"“My atheism, like that of Spinoza, is true piety towards the universe and denies only gods fashioned by men in their own image, to be servants of their human interests.”",George Santayana,Provide a motivational quote about atheism:
"“God is whispering in your heart, in the whole existence, just tune your ears.”",Amit Ray,Provide a motivational quote about listening to your inner voice:
"“Life has no limitations, except the ones you make.”",Les Brown,Provide a motivational quote about overcoming obstacles:
"“Become the leader of your life. Lead yourself to where you want to be. Breathe life back into your ambitions, your desires, your goals, your relationships.”",Steve Maraboli,Provide a motivational quote about taking control of your destiny:
